"My Credit (%1)","My Credit (%1)"
"My Credit","My Credit"
"Credit Value","Credit Value"
"You have to login to use this action","You have to login to use this action"
"Max credit you can use: %1","Max credit you can use: %1"
"Customer Id is not valid","Customer Id is not valid"
"Admin Add Credit","Admin Add Credit"
"Amout is not set in %1 on line %2","Amout is not set in %1 on line %2"
"Admin add %1 credits to your credit account.","Admin add %1 credits to your credit account."
"Admin Subtract Credit"","Admin Subtract Credit""
"Amout is not set in %1 on line %2","Amout is not set in %1 on line %2"
"Admin subtract %1 credits from your credit account.","Admin subtract %1 credits from your credit account."
"Buy Credit","Buy Credit"
"Amout is not set in %1 on line %2","Amout is not set in %1 on line %2"
"Buy %1 credits from store","Buy %1 credits from store"
"Order Refunded by Credit","Order Refunded by Credit"
"Amout is not set in %1 on line %2","Amout is not set in %1 on line %2"
"Order refunded #%1, Creditmemo #%2","Order refunded #%1, Creditmemo #%2"
"Order refunded #%1, Creditmemo #%2","Order refunded #%1, Creditmemo #%2"
"Spend Credit","Spend Credit"
"Amout is not set in %1 on line %2","Amout is not set in %1 on line %2"
"Spent credit on order #%1, invoice #%2","Spent credit on order #%1, invoice #%2"
"Spent credit on order #%1, invoice #%2","Spent credit on order #%1, invoice #%2"
"Credit Value","Credit Value"
"Store Credit","Store Credit"
"Dashboard","Dashboard"
"Credit Accounts","Credit Accounts"
"Credit Products","Credit Products"
"Credit Transactions","Credit Transactions"
"Settings","Settings"
"Credit Balance","Credit Balance"
"Created At","Created At"
"Email","Email"
"Name","Name"
"Type","Type"
"Description","Description"
"Amount","Amount"
"Balance","Balance"
"Other customers (%1)","Other customers (%1)"
"Transaction Id","Transaction Id"
"Store Credit (%1)","Store Credit (%1)"
"Refunded to Store Credit","Refunded to Store Credit"
"ALL GROUPS","ALL GROUPS"
"Add Price","Add Price"
"Add Credit Product","Add Credit Product"
"Manage Credit Accounts","Manage Credit Accounts"
"Credit Dashboard","Credit Dashboard"
"Manage Credit Products","Manage Credit Products"
"Manage Credit Transactions","Manage Credit Transactions"
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"You need to login to use this action","You need to login to use this action"
"You can't apply the amount which is greater than your credit balance","You can't apply the amount which is greater than your credit balance"
"Could not apply credit","Could not apply credit"
"Could not remove credit","Could not remove credit"
"Credit Account is not set in %1 on line %2","Credit Account is not set in %1 on line %2"
"'From' value of Store Credit must be set '%1'","'From' value of Store Credit must be set '%1'"
"'To' value of Store Credit must be set '%1'","'To' value of Store Credit must be set '%1'"
"Store Credit Value must be set '%1'","Store Credit Value must be set '%1'"
"All store credit value and price must be set '%1'","All store credit value and price must be set '%1'"
"Store Credit Value must be set '%1'","Store Credit Value must be set '%1'"
"You need to choose options for your item.","You need to choose options for your item."
"Fixed value","Fixed value"
"Dropdown values","Dropdown values"
"Custom value","Custom value"
"Use store credit to checkout (%1 available)","Use store credit to checkout (%1 available)"
"Enter credit amount","Enter credit amount"
"Apply Credit","Apply Credit"
"Close","Close"
"Cancel Credit","Cancel Credit"
"You're spending: ","You're spending: "
"You can't apply the amount which is greater than your credit balance","You can't apply the amount which is greater than your credit balance"
"Your credit was successfully removed","Your credit was successfully removed"
"%1 credit was successfully applied","%1 credit was successfully applied"
"_____","________"